#Query	Hit	E-value	Identity	Score	Query-start	Query-end	Hit-start	Hit-end	Hit-length	description	class	class description
comp3323_c0_seq2_FPKM_all:73.467_FPKM_rel:37.062_len:2655_path:	PRK07764	9e-06	15	47.7	606	774	622	787	824	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp2205_c0_seq3_FPKM_all:23.034_FPKM_rel:10.167_len:430_path:[	PRK05250	3e-73	64	268	1	143	190	332	384	S-adenosylmethionine synthetase	H	Coenzyme transport and metabolism
comp2601_c0_seq5_FPKM_all:56.325_FPKM_rel:29.061_len:456_path:[	PRK07729	5e-25	38	107	2	118	2	115	343	glyceraldehyde-3-phosphate dehydrogenase	G	Carbohydrate transport and metabolism
comp3441_c0_seq1_FPKM_all:65.74_FPKM_rel:65.74_len:1263_path:[0	PRK00754	1e-11	39	65.1	100	180	2	83	95	signal recognition particle protein Srp19	U	Intracellular trafficking, secretion, and vesicular transport
comp3538_c0_seq1_FPKM_all:28.828_FPKM_rel:28.828_len:3206_path:	PRK14949	1e-05	17	47.4	42	205	389	546	944	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp3268_c0_seq3_FPKM_all:58.289_FPKM_rel:15.635_len:1551_path:	PRK10638	2e-05	31	44.8	148	228	4	78	83	glutaredoxin 3	O	Posttranslational modification, protein turnover, chaperones
comp2323_c0_seq2_FPKM_all:56.572_FPKM_rel:29.162_len:3722_path:	PRK11188	1e-23	29	106	9	252	20	203	209	23S rRNA methyltransferase J	J	Translation, ribosomal structure and biogenesis
comp3936_c0_seq13_FPKM_all:48.045_FPKM_rel:3.187_len:3494_path:	PRK14086	1e-04	24	43.7	223	330	183	287	617	chromosomal replication initiation protein	L	Replication, recombination and repair
comp27398_c0_seq1_FPKM_all:2.397_FPKM_rel:2.397_len:869_path:[0	PRK10789	8e-53	36	202	16	288	285	519	569	putative multidrug transporter membrane\ATP-binding components	V	Defense mechanisms
comp29222_c0_seq1_FPKM_all:2.856_FPKM_rel:2.856_len:586_path:[0	PRK05092	4e-11	31	63.0	66	153	831	917	931	PII uridylyl-transferase	O	Posttranslational modification, protein turnover, chaperones
comp29317_c0_seq1_FPKM_all:2.444_FPKM_rel:2.444_len:531_path:[0	PRK01117	8e-46	54	177	68	175	6	112	430	adenylosuccinate synthetase	F	Nucleotide transport and metabolism
comp17716_c0_seq1_FPKM_all:4.476_FPKM_rel:4.476_len:847_path:[0	PRK10241	1e-11	34	64.8	20	145	52	167	251	hydroxyacylglutathione hydrolase	R	General function prediction only
comp23389_c0_seq1_FPKM_all:2.623_FPKM_rel:2.623_len:1250_path:[	PRK13639	1e-07	45	52.8	32	86	142	195	275	cobalt transporter ATP-binding subunit	P	Inorganic ion transport and metabolism
comp974_c0_seq1_FPKM_all:158.722_FPKM_rel:158.722_len:2208_path	PRK06522	2e-32	27	135	84	422	2	295	304	2-dehydropantoate 2-reductase	H	Coenzyme transport and metabolism
comp967_c1_seq4_FPKM_all:189.68_FPKM_rel:67.064_len:2881_path:[	PRK03918	1e-04	22	44.3	396	551	165	304	880	chromosome segregation protein	L	Replication, recombination and repair
comp156_c0_seq1_FPKM_all:847.018_FPKM_rel:847.018_len:1518_path	PRK09469	1e-08	28	55.9	225	427	206	400	469	glutamine synthetase	E	Amino acid transport and metabolism
comp1463_c0_seq1_FPKM_all:151.067_FPKM_rel:151.067_len:754_path	PRK12270	4e-08	32	52.2	83	149	35	102	1228	alpha-ketoglutarate decarboxylase	C	Energy production and conversion
comp1943_c0_seq4_FPKM_all:140.561_FPKM_rel:32.487_len:840_path:	PRK13342	1e-04	45	42.0	1	30	43	77	413	recombination factor protein RarA	L	Replication, recombination and repair
comp1273_c0_seq1_FPKM_all:113.207_FPKM_rel:56.675_len:1421_path	PRK15036	9e-10	26	59.2	108	256	18	137	137	hydroxyisourate hydrolase	R	General function prediction only
comp1376_c0_seq2_FPKM_all:59.139_FPKM_rel:36_len:555_path:[1169	PRK00290	1e-69	50	257	1	184	152	335	627	molecular chaperone DnaK	O	Posttranslational modification, protein turnover, chaperones
comp8607_c0_seq1_FPKM_all:19.297_FPKM_rel:19.297_len:2269_path:	PRK03932	1e-130	40	459	126	588	2	438	450	asparaginyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
comp9462_c0_seq8_FPKM_all:7.738_FPKM_rel:6.804_len:512_path:[20	PRK05762	1e-06	22	47.2	39	148	201	303	786	DNA polymerase II	L	Replication, recombination and repair
comp9453_c0_seq1_FPKM_all:11.393_FPKM_rel:5.946_len:1436_path:[	PRK11192	9e-26	39	111	17	166	221	370	434	ATP-dependent RNA helicase SrmB	X	Multifunctional
comp8466_c0_seq1_FPKM_all:16.844_FPKM_rel:16.844_len:3733_path:	PRK03918	6e-12	18	68.6	90	487	3	424	880	chromosome segregation protein	L	Replication, recombination and repair
comp9666_c0_seq1_FPKM_all:9.695_FPKM_rel:9.695_len:2924_path:[0	PRK11102	1e-13	25	73.8	180	366	14	196	377	bicyclomycin/multidrug efflux system	G	Carbohydrate transport and metabolism
comp9270_c0_seq1_FPKM_all:10.383_FPKM_rel:10.383_len:375_path:[	PRK13108	3e-06	20	45.4	2	89	356	445	460	prolipoprotein diacylglyceryl transferase	M	Cell wall/membrane/envelope biogenesis
comp32983_c0_seq1_FPKM_all:2.383_FPKM_rel:2.383_len:516_path:[0	PRK00877	6e-53	56	199	2	110	317	425	425	bifunctional histidinal dehydrogenase/ histidinol dehydrogenase	E	Amino acid transport and metabolism
comp32726_c0_seq1_FPKM_all:2.17_FPKM_rel:2.17_len:661_path:[0].	PRK01103	2e-31	35	130	1	134	82	217	274	formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase	L	Replication, recombination and repair
comp37080_c0_seq1_FPKM_all:1.887_FPKM_rel:1.887_len:380_path:[0	PRK10218	3e-21	52	94.8	17	105	353	439	607	GTP-binding protein	T	Signal transduction mechanisms
comp24364_c0_seq1_FPKM_all:3.609_FPKM_rel:3.609_len:511_path:[0	PRK11102	1e-17	30	84.2	1	166	5	169	377	bicyclomycin/multidrug efflux system	G	Carbohydrate transport and metabolism
comp25749_c0_seq1_FPKM_all:3.037_FPKM_rel:3.037_len:596_path:[0	PRK02287	2e-33	58	136	3	82	88	167	171	hypothetical protein	S	Function unknown
comp11247_c0_seq1_FPKM_all:10.367_FPKM_rel:5.924_len:1107_path:	PRK15491	5e-06	25	47.2	6	170	76	226	374	replication factor A	L	Replication, recombination and repair
comp11413_c0_seq1_FPKM_all:11.671_FPKM_rel:11.671_len:1314_path	PRK14875	9e-12	36	66.1	70	172	134	233	371	acetoin dehydrogenase E2 subunit dihydrolipoyllysine-residue acetyltransferase	X	Multifunctional
comp11638_c0_seq1_FPKM_all:11.891_FPKM_rel:11.891_len:652_path:	PRK10942	3e-04	40	39.7	5	51	225	269	473	serine endoprotease	O	Posttranslational modification, protein turnover, chaperones
comp11027_c0_seq2_FPKM_all:10.92_FPKM_rel:10.92_len:882_path:[0	PRK08317	6e-17	31	82.7	92	206	4	118	241	hypothetical protein	H	Coenzyme transport and metabolism
comp10640_c0_seq1_FPKM_all:10.188_FPKM_rel:10.188_len:885_path:	PRK11102	2e-18	34	87.3	95	244	33	181	377	bicyclomycin/multidrug efflux system	G	Carbohydrate transport and metabolism
comp10160_c0_seq1_FPKM_all:12.057_FPKM_rel:6.087_len:1745_path:	PRK00047	0.0	50	709	24	535	3	496	498	glycerol kinase	C	Energy production and conversion
comp11727_c0_seq1_FPKM_all:10.917_FPKM_rel:10.917_len:1971_path	PRK05901	7e-06	21	46.5	87	173	92	178	509	RNA polymerase sigma factor	K	Transcription
comp10369_c0_seq1_FPKM_all:12.239_FPKM_rel:10.544_len:826_path:	PRK03992	2e-57	40	217	55	274	13	211	389	proteasome-activating nucleotidase	O	Posttranslational modification, protein turnover, chaperones
comp7335_c0_seq6_FPKM_all:17.31_FPKM_rel:10.712_len:440_path:[0	PRK09434	2e-14	50	72.3	5	67	241	302	304	aminoimidazole riboside kinase	G	Carbohydrate transport and metabolism
comp6355_c0_seq3_FPKM_all:30.704_FPKM_rel:7.501_len:683_path:[2	PRK13511	1e-22	38	100	20	130	329	445	469	6-phospho-beta-galactosidase	G	Carbohydrate transport and metabolism
comp6931_c0_seq1_FPKM_all:7.539_FPKM_rel:2.683_len:1871_path:[2	PRK12467	9e-87	34	315	29	549	1578	2090	3956	peptide synthase	Q	Secondary metabolites biosynthesis, transport and catabolism
comp6478_c0_seq1_FPKM_all:29.577_FPKM_rel:15.031_len:1552_path:	PRK10206	5e-05	27	44.0	71	201	56	177	344	putative oxidoreductase	R	General function prediction only
comp6774_c0_seq1_FPKM_all:30.117_FPKM_rel:30.117_len:1988_path:	PRK10077	1e-50	29	196	80	558	10	479	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp7802_c0_seq2_FPKM_all:8.845_FPKM_rel:7.988_len:1116_path:[1	PRK00290	8e-62	35	232	3	356	29	376	627	molecular chaperone DnaK	O	Posttranslational modification, protein turnover, chaperones
comp6266_c0_seq1_FPKM_all:44.761_FPKM_rel:44.761_len:351_path:[	PRK04322	3e-30	48	124	18	116	1	99	113	peptidyl-tRNA hydrolase	S	Function unknown
comp7719_c0_seq6_FPKM_all:6.165_FPKM_rel:1.74_len:687_path:[0,	PRK07656	1e-06	33	48.4	137	192	31	89	513	long-chain-fatty-acid--CoA ligase	X	Multifunctional
comp7456_c0_seq6_FPKM_all:26.246_FPKM_rel:3.265_len:4038_path:[	PRK15427	4e-12	28	68.2	345	498	219	372	406	colanic acid biosynthesis glycosyltransferase WcaL	M	Cell wall/membrane/envelope biogenesis
comp7268_c0_seq1_FPKM_all:27.721_FPKM_rel:27.721_len:722_path:[	PRK03957	2e-08	31	53.8	14	111	3	86	100	V-type ATP synthase subunit F	C	Energy production and conversion
comp7909_c0_seq3_FPKM_all:9.056_FPKM_rel:9.013_len:792_path:[0,	PRK10675	4e-22	39	99.9	152	262	3	111	338	UDP-galactose-4-epimerase	M	Cell wall/membrane/envelope biogenesis
comp7171_c0_seq1_FPKM_all:19.563_FPKM_rel:10.734_len:735_path:[	PRK00084	5e-55	53	208	118	244	3	129	159	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	I	Lipid transport and metabolism
comp7382_c0_seq1_FPKM_all:29.752_FPKM_rel:14.991_len:2529_path:	PRK11776	1e-75	33	280	395	770	11	351	460	ATP-dependent RNA helicase DbpA	X	Multifunctional
comp7382_c0_seq1_FPKM_all:29.752_FPKM_rel:14.991_len:2529_path:	PRK14965	1e-04	26	43.6	10	76	383	449	576	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp5856_c0_seq3_FPKM_all:34.76_FPKM_rel:16.068_len:1354_path:[	PRK07560	1e-100	41	361	1	363	379	729	731	elongation factor EF-2	J	Translation, ribosomal structure and biogenesis
comp5300_c0_seq1_FPKM_all:43.747_FPKM_rel:43.747_len:3247_path:	PRK03918	3e-07	20	52.8	234	387	171	319	880	chromosome segregation protein	L	Replication, recombination and repair
comp4302_c0_seq3_FPKM_all:48.412_FPKM_rel:23.648_len:3059_path:	PRK14501	0.0	38	633	287	989	51	716	726	putative bifunctional trehalose-6-phosphate synthase/HAD hydrolase subfamily IIB	G	Carbohydrate transport and metabolism
comp5474_c0_seq3_FPKM_all:37.96_FPKM_rel:12.751_len:1741_path:[	PRK07764	2e-04	14	41.1	2	186	595	781	824	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp4039_c0_seq3_FPKM_all:41.551_FPKM_rel:41.551_len:314_path:[	PRK03992	8e-42	61	163	1	100	229	328	389	proteasome-activating nucleotidase	O	Posttranslational modification, protein turnover, chaperones
comp5857_c0_seq7_FPKM_all:24.687_FPKM_rel:24.687_len:469_path:[	PRK11565	1e-20	44	94.0	44	137	28	114	275	2,5-diketo-D-gluconate reductase A	R	General function prediction only
comp5515_c0_seq4_FPKM_all:34.652_FPKM_rel:4.467_len:2745_path:[	PRK13184	5e-17	25	84.8	11	269	1	292	932	serine/threonine-protein kinase	X	Multifunctional
comp15446_c0_seq1_FPKM_all:5.799_FPKM_rel:3.653_len:1019_path:[	PRK10534	4e-54	36	206	1	269	73	328	333	L-threonine aldolase	E	Amino acid transport and metabolism
comp15626_c0_seq1_FPKM_all:5.79_FPKM_rel:5.79_len:1457_path:[0]	PRK07213	2e-05	25	45.4	208	414	173	375	375	chlorohydrolase	X	Multifunctional
comp19003_c0_seq2_FPKM_all:2.114_FPKM_rel:2.114_len:517_path:[1	PRK08644	5e-11	42	62.2	126	172	21	67	212	thiamine biosynthesis protein ThiF	H	Coenzyme transport and metabolism
comp19106_c0_seq1_FPKM_all:4.176_FPKM_rel:4.176_len:1832_path:[	PRK11357	3e-15	21	78.4	135	539	5	399	445	putative fructoselysine transporter	E	Amino acid transport and metabolism
comp19745_c0_seq3_FPKM_all:4.373_FPKM_rel:1.874_len:328_path:[0	PRK15098	2e-06	31	45.4	3	59	701	762	765	beta-D-glucoside glucohydrolase	G	Carbohydrate transport and metabolism
comp18703_c0_seq2_FPKM_all:3.898_FPKM_rel:2.129_len:1139_path:[	PRK10911	1e-70	45	260	6	273	418	678	680	oligopeptidase A	E	Amino acid transport and metabolism
comp18043_c0_seq1_FPKM_all:5.003_FPKM_rel:5.003_len:669_path:[0	PRK03947	2e-06	29	47.2	28	144	8	124	140	prefoldin subunit alpha	O	Posttranslational modification, protein turnover, chaperones
comp21737_c0_seq1_FPKM_all:3.279_FPKM_rel:3.279_len:677_path:[4	PRK12467	5e-21	28	96.0	1	222	591	819	3956	peptide synthase	Q	Secondary metabolites biosynthesis, transport and catabolism
comp20641_c0_seq1_FPKM_all:4.645_FPKM_rel:4.645_len:500_path:[0	PRK09813	2e-08	36	52.4	13	75	188	249	260	fructoselysine 6-kinase	G	Carbohydrate transport and metabolism
comp20058_c0_seq2_FPKM_all:3.644_FPKM_rel:2.882_len:403_path:[7	PRK05294	7e-07	44	47.0	1	34	1033	1066	1066	carbamoyl phosphate synthase large subunit	X	Multifunctional
comp12853_c0_seq2_FPKM_all:7.351_FPKM_rel:1.868_len:1682_path:[	PRK12329	3e-05	27	44.8	33	98	379	444	449	transcription elongation factor NusA	K	Transcription
comp12798_c0_seq1_FPKM_all:6.579_FPKM_rel:6.579_len:1464_path:[	PRK10767	3e-14	39	74.8	196	281	2	66	371	chaperone protein DnaJ	O	Posttranslational modification, protein turnover, chaperones
comp13282_c0_seq3_FPKM_all:4.837_FPKM_rel:4.837_len:466_path:[2	PRK05826	2e-35	42	142	2	153	231	381	465	pyruvate kinase	G	Carbohydrate transport and metabolism
comp13220_c0_seq1_FPKM_all:10.805_FPKM_rel:10.805_len:825_path:	PRK11568	9e-05	46	42.3	105	143	70	110	204	hypothetical protein	S	Function unknown
comp13580_c0_seq3_FPKM_all:8.675_FPKM_rel:4.611_len:874_path:[4	PRK04173	6e-27	35	115	1	127	216	319	456	glycyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
comp3172_c0_seq1_FPKM_all:53.485_FPKM_rel:53.485_len:3592_path:	PRK09795	1e-04	28	44.5	298	420	197	323	361	aminopeptidase	E	Amino acid transport and metabolism
comp2853_c0_seq1_FPKM_all:47.747_FPKM_rel:26.175_len:3651_path:	PRK09277	0.0	60	1584	29	922	1	884	888	aconitate hydratase	C	Energy production and conversion
comp2887_c0_seq2_FPKM_all:44.815_FPKM_rel:22.668_len:6491_path:	PRK02224	7e-13	21	72.4	1125	1713	210	727	880	chromosome segregation protein	L	Replication, recombination and repair
comp3483_c0_seq2_FPKM_all:50.689_FPKM_rel:15.281_len:1008_path:	PRK13529	1e-118	53	419	72	335	37	302	563	malate dehydrogenase	C	Energy production and conversion
comp2731_c0_seq1_FPKM_all:82.659_FPKM_rel:82.659_len:1547_path:	PRK06196	8e-75	38	275	116	428	6	309	315	oxidoreductase	X	Multifunctional
comp3680_c0_seq2_FPKM_all:75.909_FPKM_rel:75.909_len:1056_path:	PRK12678	6e-04	13	39.5	7	192	70	255	672	transcription termination factor Rho	K	Transcription
comp2551_c0_seq4_FPKM_all:34.394_FPKM_rel:18.276_len:570_path:[	PRK00011	5e-58	49	218	32	188	3	149	416	serine hydroxymethyltransferase	E	Amino acid transport and metabolism
comp3911_c0_seq1_FPKM_all:61.564_FPKM_rel:61.564_len:2132_path:	PRK13184	4e-09	29	58.2	510	610	119	232	932	serine/threonine-protein kinase	X	Multifunctional
comp3889_c0_seq1_FPKM_all:73.853_FPKM_rel:73.853_len:1195_path:	PRK13771	1e-14	25	76.2	37	250	15	235	334	putative alcohol dehydrogenase	R	General function prediction only
comp27020_c0_seq1_FPKM_all:2.423_FPKM_rel:2.423_len:592_path:[0	PRK10333	1e-05	29	44.9	13	129	79	179	182	5-formyltetrahydrofolate cyclo-ligase family protein	H	Coenzyme transport and metabolism
comp27410_c0_seq1_FPKM_all:2.919_FPKM_rel:2.919_len:351_path:[0	PRK04057	5e-21	39	94.2	11	114	58	152	203	30S ribosomal protein S3Ae	J	Translation, ribosomal structure and biogenesis
comp27948_c0_seq1_FPKM_all:2.905_FPKM_rel:2.905_len:341_path:[0	PRK05092	5e-10	40	57.6	29	92	846	910	931	PII uridylyl-transferase	O	Posttranslational modification, protein turnover, chaperones
comp29798_c0_seq1_FPKM_all:2.595_FPKM_rel:2.595_len:566_path:[0	PRK00565	2e-12	45	65.1	4	63	50	109	112	50S ribosomal protein L22	J	Translation, ribosomal structure and biogenesis
comp28447_c0_seq1_FPKM_all:2.144_FPKM_rel:2.144_len:462_path:[0	PRK00529	5e-41	33	161	12	153	3	142	186	elongation factor P	J	Translation, ribosomal structure and biogenesis
comp17439_c0_seq2_FPKM_all:4.774_FPKM_rel:2.51_len:1252_path:[0	PRK08162	0.0	59	688	1	417	84	488	545	acyl-CoA synthetase	X	Multifunctional
comp17477_c0_seq1_FPKM_all:4.747_FPKM_rel:4.747_len:1072_path:[	PRK03972	8e-04	23	39.5	32	136	2	110	208	ribosomal biogenesis protein	X	Multifunctional
comp22248_c0_seq2_FPKM_all:2.864_FPKM_rel:1.838_len:799_path:[4	PRK01117	1e-105	50	376	1	265	87	351	430	adenylosuccinate synthetase	F	Nucleotide transport and metabolism
comp1996_c0_seq1_FPKM_all:104.477_FPKM_rel:104.477_len:2628_pat	PRK14280	7e-11	36	64.4	177	255	7	77	376	chaperone protein DnaJ	O	Posttranslational modification, protein turnover, chaperones
comp863_c1_seq1_FPKM_all:223.846_FPKM_rel:223.846_len:1316_path	PRK03592	8e-18	34	86.2	8	134	3	122	295	haloalkane dehalogenase	R	General function prediction only
comp993_c0_seq1_FPKM_all:209.385_FPKM_rel:209.385_len:1639_path	PRK11872	2e-15	27	79.0	265	462	121	317	340	anthranilate dioxygenase reductase	X	Multifunctional
comp137_c0_seq1_FPKM_all:856.398_FPKM_rel:856.398_len:1062_path	PRK01178	3e-15	38	76.5	54	141	11	98	99	30S ribosomal protein S24e	J	Translation, ribosomal structure and biogenesis
comp1838_c0_seq3_FPKM_all:109.282_FPKM_rel:36.824_len:1778_path	PRK00279	2e-57	34	218	7	250	2	205	215	adenylate kinase	F	Nucleotide transport and metabolism
comp1397_c0_seq1_FPKM_all:179.45_FPKM_rel:179.45_len:1771_path:	PRK05293	2e-19	24	92.6	95	448	3	378	380	glucose-1-phosphate adenylyltransferase	G	Carbohydrate transport and metabolism
comp702_c0_seq1_FPKM_all:240.083_FPKM_rel:240.083_len:2930_path	PRK00290	2e-72	38	269	136	515	4	376	627	molecular chaperone DnaK	O	Posttranslational modification, protein turnover, chaperones
comp702_c0_seq1_FPKM_all:240.083_FPKM_rel:240.083_len:2930_path	PRK09510	4e-04	23	42.1	689	839	78	216	387	cell envelope integrity inner membrane protein TolA	M	Cell wall/membrane/envelope biogenesis
comp1412_c0_seq4_FPKM_all:192.52_FPKM_rel:27.62_len:1082_path:[	PRK12678	2e-07	23	51.8	136	233	149	246	672	transcription termination factor Rho	K	Transcription
comp9430_c0_seq1_FPKM_all:17.121_FPKM_rel:10.657_len:391_path:[	PRK11824	2e-06	50	45.8	72	99	314	341	693	polynucleotide phosphorylase/polyadenylase	J	Translation, ribosomal structure and biogenesis
comp9161_c0_seq1_FPKM_all:8.758_FPKM_rel:3.904_len:936_path:[40	PRK13184	9e-10	24	58.2	1	210	2	238	932	serine/threonine-protein kinase	X	Multifunctional
comp9209_c0_seq1_FPKM_all:21.742_FPKM_rel:21.742_len:864_path:[	PRK09553	1e-10	28	62.0	41	190	118	271	277	taurine dioxygenase	Q	Secondary metabolites biosynthesis, transport and catabolism
comp8788_c0_seq1_FPKM_all:12.079_FPKM_rel:2.999_len:2460_path:[	PRK09874	3e-09	31	58.8	33	187	29	181	408	drug efflux system protein MdtG	G	Carbohydrate transport and metabolism
comp8200_c0_seq1_FPKM_all:30.739_FPKM_rel:30.739_len:670_path:[	PRK10447	9e-05	29	40.2	5	120	103	213	219	HflBKC-binding inner membrane protein	R	General function prediction only
comp8772_c0_seq3_FPKM_all:14.201_FPKM_rel:5.812_len:2903_path:[	PRK10226	1e-13	29	73.8	374	521	6	149	313	isoaspartyl peptidase	E	Amino acid transport and metabolism
comp8231_c0_seq2_FPKM_all:13.337_FPKM_rel:6.711_len:799_path:[0	PRK15113	5e-14	29	72.7	24	171	30	171	214	glutathione S-transferase	O	Posttranslational modification, protein turnover, chaperones
comp9624_c0_seq2_FPKM_all:9.765_FPKM_rel:5.041_len:752_path:[56	PRK09422	2e-24	29	107	1	234	41	269	338	ethanol-active dehydrogenase/acetaldehyde-active reductase	R	General function prediction only
comp8679_c0_seq1_FPKM_all:23.528_FPKM_rel:16.912_len:826_path:[	PRK09481	6e-06	41	46.2	44	109	26	90	211	stringent starvation protein A	O	Posttranslational modification, protein turnover, chaperones
comp8424_c0_seq1_FPKM_all:22.601_FPKM_rel:17.298_len:541_path:[	PRK04231	5e-15	35	75.3	1	93	261	337	337	50S ribosomal protein L3P	J	Translation, ribosomal structure and biogenesis
comp24222_c0_seq1_FPKM_all:3.687_FPKM_rel:3.687_len:741_path:[0	PRK04750	6e-53	36	202	1	244	53	297	537	putative ubiquinone biosynthesis protein UbiB	R	General function prediction only
comp35105_c0_seq1_FPKM_all:1.98_FPKM_rel:1.98_len:345_path:[0].	PRK10590	2e-15	35	75.6	1	114	54	165	456	ATP-dependent RNA helicase RhlE	X	Multifunctional
comp35771_c0_seq1_FPKM_all:2.089_FPKM_rel:2.089_len:376_path:[0	PRK00517	3e-10	57	58.6	87	124	119	156	250	ribosomal protein L11 methyltransferase	J	Translation, ribosomal structure and biogenesis
comp34298_c0_seq1_FPKM_all:1.981_FPKM_rel:1.981_len:362_path:[0	PRK14498	3e-21	40	94.9	1	119	74	187	633	putative molybdopterin biosynthesis protein MoeA/LysR substrate binding-domain-containing protein	H	Coenzyme transport and metabolism
comp10126_c0_seq2_FPKM_all:5.594_FPKM_rel:5.358_len:867_path:[3	PRK03992	8e-17	39	82.6	165	287	154	268	389	proteasome-activating nucleotidase	O	Posttranslational modification, protein turnover, chaperones
comp11031_c0_seq4_FPKM_all:13.324_FPKM_rel:3.378_len:546_path:[	PRK10638	2e-11	37	63.7	17	99	3	82	83	glutaredoxin 3	O	Posttranslational modification, protein turnover, chaperones
comp10836_c0_seq1_FPKM_all:13.845_FPKM_rel:13.845_len:1823_path	PRK10733	6e-17	29	83.9	198	380	138	329	644	ATP-dependent metalloprotease	O	Posttranslational modification, protein turnover, chaperones
comp11385_c0_seq5_FPKM_all:8.07_FPKM_rel:0.995_len:3022_path:[0	PRK10504	9e-20	26	93.6	39	394	15	350	471	putative transporter	G	Carbohydrate transport and metabolism
comp10078_c0_seq3_FPKM_all:13.333_FPKM_rel:9.3_len:415_path:[0,	PRK07682	5e-07	26	48.2	1	133	84	199	378	hypothetical protein	E	Amino acid transport and metabolism
comp10391_c0_seq1_FPKM_all:8.735_FPKM_rel:7.648_len:4086_path:[	PRK13657	2e-48	37	189	874	1129	318	576	588	cyclic beta-1,2-glucan ABC transporter	V	Defense mechanisms
comp10391_c0_seq1_FPKM_all:8.735_FPKM_rel:7.648_len:4086_path:[	PRK09452	1e-16	27	84.2	261	477	13	238	375	putrescine/spermidine ABC transporter ATPase protein	E	Amino acid transport and metabolism
comp6408_c0_seq1_FPKM_all:32.301_FPKM_rel:32.301_len:1216_path:	PRK10749	5e-08	23	53.5	84	263	81	274	330	lysophospholipase L2	I	Lipid transport and metabolism
comp6867_c0_seq2_FPKM_all:34.954_FPKM_rel:22.853_len:683_path:[	PRK12277	1e-05	38	44.0	4	79	7	78	83	50S ribosomal protein L13e	J	Translation, ribosomal structure and biogenesis
comp7635_c0_seq2_FPKM_all:24.152_FPKM_rel:8.407_len:1820_path:[	PRK05901	7e-04	14	40.8	21	141	67	187	509	RNA polymerase sigma factor	K	Transcription
comp7411_c0_seq1_FPKM_all:25.007_FPKM_rel:25.007_len:2961_path:	PRK08137	1e-113	39	406	78	572	1	486	497	amidase	J	Translation, ribosomal structure and biogenesis
comp6821_c0_seq6_FPKM_all:11.967_FPKM_rel:11.967_len:391_path:[	PRK05826	1e-18	61	86.0	20	63	5	48	465	pyruvate kinase	G	Carbohydrate transport and metabolism
comp7360_c0_seq1_FPKM_all:36.285_FPKM_rel:36.285_len:593_path:[	PRK00601	7e-29	39	121	88	196	27	139	150	deoxyuridine 5'-triphosphate nucleotidohydrolase	F	Nucleotide transport and metabolism
